User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIAVVU7OE6YUHPYCWMZ,2021-02-10T13:20:39Z,config.amazonaws.com,DescribeConfigurationRecorders,eu-west-1,37.228.230.36,"AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.946 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation",,[],621693ad-1bfd-4110-a726-e1e09fb94566,280b4537-e7be-4480-a00a-ddbf2ce5eec3,true,AwsApiCall,390102656945,Management
CloudTrail,ASIAVVU7OE6YUHPYCWMZ,2021-02-10T13:20:39Z,config.amazonaws.com,DescribeConfigurationRecorderStatus,eu-west-1,37.228.230.36,"AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.946 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation",,[],d571c1d7-fbfd-4e19-8168-245fbd4267af,71d9903f-3b1d-4cd2-8d83-72edbc3a4951,true,AwsApiCall,390102656945,Management
,,2021-02-10T13:07:38Z,s3.amazonaws.com,GetBucketAcl,eu-west-1,cloudtrail.amazonaws.com,cloudtrail.amazonaws.com,,[],163AB1A5A6F11530,68a6549c-6d1d-43c7-b2e5-84e2a0e8efd3,true,AwsApiCall,390102656945,Management
CloudTrail,ASIAVVU7OE6YUHPYCWMZ,2021-02-10T13:07:06Z,cloudtrail.amazonaws.com,DescribeTrails,eu-west-1,37.228.230.36,console.amazonaws.com,,[],8bee19d3-b9f4-4585-af21-10939edcda18,ac4f5496-eb2b-4b28-9dde-26fba74a1d84,true,AwsApiCall,390102656945,Management
CloudTrail,ASIAVVU7OE6YUHPYCWMZ,2021-02-10T13:07:06Z,cloudtrail.amazonaws.com,GetTrailStatus,eu-west-1,37.228.230.36,console.amazonaws.com,,[],32cbee34-881a-418a-b995-cf1eda57a5c2,b1f3de9e-0dae-4f25-9740-972cebed5d86,true,AwsApiCall,390102656945,Management
CloudTrail,ASIAVVU7OE6YUHPYCWMZ,2021-02-10T13:07:05Z,s3.amazonaws.com,PutBucketPolicy,eu-west-1,37.228.230.36,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.946 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-390102656945-22d2eb05""}]",53ABDEDD4835DD17,0c12a2c3-e677-42c9-8de5-da494c9ad85b,false,AwsApiCall,390102656945,Management
CloudTrail,ASIAVVU7OE6YUHPYCWMZ,2021-02-10T13:07:05Z,s3.amazonaws.com,CreateBucket,eu-west-1,37.228.230.36,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.946 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-390102656945-22d2eb05""}]",DS5Y7J5H8N0ZFK7W,2e6ebf66-e1cf-4eff-9ea4-f0edde8d6170,false,AwsApiCall,390102656945,Management
CloudTrail,ASIAVVU7OE6YUHPYCWMZ,2021-02-10T13:07:05Z,cloudtrail.amazonaws.com,StartLogging,eu-west-1,37.228.230.36,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",8d40922e-aa2e-41b9-a848-e576ced1ec0f,536d4e23-e7dc-4952-b7db-16c464dc221d,false,AwsApiCall,390102656945,Management
CloudTrail,ASIAVVU7OE6YUHPYCWMZ,2021-02-10T13:07:05Z,cloudtrail.amazonaws.com,CreateTrail,eu-west-1,37.228.230.36,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:eu-west-1:390102656945:trail/Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-390102656945-22d2eb05""}]",59006c8d-7192-4446-922c-cef1c23c3d82,7d585f72-5f16-412e-8579-4fb9205c9702,false,AwsApiCall,390102656945,Management
CloudTrail,ASIAVVU7OE6YUHPYCWMZ,2021-02-10T13:07:05Z,s3.amazonaws.com,GetBucketLocation,eu-west-1,37.228.230.36,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.946 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",,[],BA49658C72DDCA9C,b6e97392-025b-49c3-854b-b74ed5b68a2b,true,AwsApiCall,390102656945,Management
